Hora;Res_P;Res_Q;Com_P;Com_Q;Ind_P;Ind_Q
1;0.60;0.4;0.35;0.5;0.45;0.35
2;0.55;0.4;0.35;0.5;0.46;0.35
3;0.50;0.4;0.32;0.5;0.50;0.35
4;0.50;0.4;0.30;0.5;0.50;0.35
5;0.55;0.42;0.30;0.5;0.50;0.35
6;0.60;0.42;0.34;0.5;0.50;0.35
7;0.60;0.42;0.50;0.5;0.95;0.50
8;0.65;0.42;0.8;0.58;0.94;0.70
9;0.70;0.42;1;0.6;0.94;0.80
10;0.65;0.43;1;0.8;0.94;0.82
11;0.65;0.43;0.96;0.78;1;0.82
12;0.63;0.45;1;0.78;1;0.82
13;0.62;0.45;0.95;0.78;1;0.78
14;0.62;0.50;0.90;0.78;1;0.80
15;0.72;0.50;0.82;0.75;0.90;0.70
16;0.75;0.50;0.80;0.74;0.90;0.62
17;0.75;0.55;0.60;0.60;0.85;0.52
18;0.8;0.55;0.58;0.62;0.80;0.50
19;1;0.55;0.60;0.65;0.72;0.45
20;0.99;0.55;0.60;0.65;0.60;0.35
21;0.96;0.54;0.60;0.60;0.50;0.35
22;1;0.52;0.60;0.50;0.52;0.35
23;0.90;0.50;0.58;0.48;0.52;0.35
24;0.60;0.42;0.56;0.42;0.52;0.35
